strain,stress,displacement,ture_strain,ture_stress
0.017700195,9.097209771000001,0.002655029,0.017698628700310786,9.098819994869027
0.035909017,15.97699965,0.005386353000000001,0.03590257125550423,15.982736833520407
0.055541992000000005,22.81542003,0.008331299,0.05552657314464878,22.828092168767828
0.073343913,29.52145943,0.011001587,0.07331702949626985,29.54311162352067
0.09165446,36.09511475,0.013748169,0.09161248294707013,36.12819753251049
0.11108398400000001,42.45364283,0.016662598,0.1110223313957088,42.50080202780869
0.128885905,48.46467203,0.019332886,0.12880291841514693,48.52713616115115
0.147196452,54.21092892,0.022079467999999998,0.14708822421455836,54.29072548396649
0.166727702,59.48143647,0.025009155,0.16658886566458603,59.580608502143015
0.18442789699999998,63.05164816,0.027664185,0.1842580375674224,63.167932988725326
0.202738444,64.26791913,0.030410767000000002,0.20253320696605898,64.39821490923534
0.222269694,64.88019033,0.033340454,0.22202304033892986,65.02439933051312
0.239969889,65.92270771,0.035995482999999995,0.23968242106100485,66.08090235851748
0.258178711,66.88248608,0.038726807,0.25784600229825455,67.05516242044611
0.277608236,68.01601804,0.041641235,0.2772236159966366,68.2048361078783
0.29520670600000004,69.79905707,0.044281006,0.2947718266554456,70.00510856719542
0.315144857,72.28123579,0.047271729000000005,0.31464931643630045,72.50902638716822
0.33294677699999997,75.19780678,0.049942017000000005,0.3323937364322671,75.4481754540487
0.351053874,78.46601443,0.052658080999999995,0.35043911821697027,78.74147241342992
0.37048339799999996,82.07759977,0.05557251,0.36979879862272397,82.38168365062475
0.38828531899999996,86.30145216,0.058242798,0.38753343722447336,86.63654802882108
0.40659586600000003,91.00518751,0.06098938,0.40577149881519264,91.3752108402612
0.425923665,96.01506883,0.06388855,0.42501917753257157,96.42401973011302
0.443522135,101.19456600000001,0.06652832,0.44254147414163536,101.6433862996272
0.462341309,106.46506940000002,0.06935119599999999,0.4612757945167927,106.95730139549174
0.481058757,111.7769423,0.072158813,0.47990536687197377,112.31465506924098
0.499267578,117.1757003,0.074890137,0.49802537033886063,117.76072058089235
0.5174764000000001,122.7068341,0.07762146,0.5161420920501466,123.34181300765464
0.5361938479999999,128.2793457,0.080429077,0.5347614468035347,128.96717165989807
0.554402669,133.8973562,0.0831604,0.5528715139724041,134.63968671649323
0.574239095,139.4698678,0.086135864,0.5725966271043271,140.27075830665243
0.59193929,144.955486,0.08879089400000001,0.5901942125312427,145.81353447464448
0.610249837,150.4452503,0.09153747599999999,0.6083953535128458,151.36334219473
0.629577637,155.9722629,0.094436646,0.6276040760624891,156.95422938714125
0.647277832,161.5033884,0.097091675,0.6451919850194202,162.54876403104208
0.665486654,167.0345305,0.09982299800000001,0.6632820669833098,168.14612300804905
0.6847127279999999,172.52016530000003,0.102706909,0.682379216246079,173.70143283017575
0.703023275,178.0512908,0.105453491,0.7005635877613283,179.30303281576195
0.7212320959999999,183.363172,0.108184814,0.7186436556419827,184.68564604870767
0.739949544,188.7205605,0.11099243199999999,0.737225347560498,190.116997426854
0.758158366,194.1606714,0.113723755,0.755298789776329,195.63271677370088
0.777994792,199.604945,0.116699219,0.7749840182112625,201.15786107667446
0.7956949870000001,205.0905632,0.11935424800000001,0.7925460274843005,206.72245853019248
0.813903809,210.53483680000002,0.12208557099999999,0.8106094750167995,212.24838785598715
0.833129883,215.93358650000002,0.12496948199999999,0.8296785123403303,217.73259373656515
0.8509318029999999,221.41920469999997,0.12763977099999999,0.8473317863743999,223.30333113074192
0.86924235,226.95034680000003,0.130386353,0.8654861897474738,228.92309532785754
0.88857015,232.43598160000002,0.133285522,0.8846455965824424,234.5013383503571
0.90616862,237.92574590000004,0.135925293,0.9020875478958267,240.08175434824676
0.9250895179999999,243.5437565,0.138763428,0.9208367725996728,245.79675426312497
0.943908691,249.15763760000002,0.141586304,0.9394817088915045,251.50945819559672
0.962015788,254.7756481,0.14430236800000001,0.9574178809926979,257.2266300587013
0.980326335,260.4350365,0.14704895,0.9755523116996946,262.9881497483764
0.999043783,266.1399156,0.149856567,0.994086331330154,268.79876988088324
1.01776123,271.8903186,0.152664185,1.012616915508386,274.6575128508343
1.03729248,277.6820827,0.155593872,1.0319495178880012,280.5624580621545
1.054382324,283.4283396,0.158157349,1.0488624798467834,286.4167579139491
1.073099772,289.2201038,0.160964966,1.0673829183932135,292.323724074456
1.092427572,295.011868,0.163864136,1.0865036857295756,298.2346589867043
1.110229492,300.7581249,0.16653442400000001,1.1041116838681384,304.09723030222597
1.128438314,306.549889,0.169265747,1.1221189445436095,310.0091153990005
1.1477661129999999,312.34165319999994,0.172164917,1.1412292488066091,315.92660485221353
1.165974935,318.1334174,0.17489624,1.1592298274670911,321.8427733067429
1.184285482,323.92518160000003,0.177642822,1.1773277009388174,327.76138049823095
1.20300293,329.7169457,0.180450439,1.1958243646376319,333.6834502174775
1.221211751,335.5501043,0.183181763,1.2138151184393133,339.6478816042044
1.241048177,341.34186850000003,0.18615722699999998,1.2334103023224847,345.578085536357
1.258138021,347.1791399,0.18872070300000002,1.250289228466792,351.5471326600627
1.276957194,353.01226529999997,0.191543579,1.2688728453300107,357.5200808174507
1.296284993,358.8040295,0.194442749,1.2879551277183323,363.4551522886878
1.3138834640000001,364.637188,0.19708252,1.3053268827277498,369.4280957167266
1.332092285,370.3006893,0.19981384300000002,1.3232979487523198,375.2334362134671
1.351420085,375.9600777,0.202713013,1.342369850391072,381.0408777016194
1.369628906,381.4043347,0.205444336,1.360334261230114,386.6281587167882
1.3879394530000002,386.5424457,0.208190918,1.378395778931239,391.90742080646135
